lat_deg,radius_km,one_axis_s,two_axis_s,lost_s
22.0000,15.000,0.000,120.100,120.100
24.0000,0.500,46.700,120.300,73.600
24.0000,1.000,44.100,120.300,76.200
24.0000,2.000,39.000,120.300,81.300
24.0000,3.000,34.200,120.300,86.100
24.0000,4.000,29.600,120.300,90.700
24.0000,5.000,25.300,120.300,95.000
24.0000,6.000,21.100,120.300,99.200
24.0000,8.000,13.300,120.300,107.000
24.0000,10.000,6.100,120.300,114.200
24.0000,12.000,0.000,120.300,120.300
24.0000,15.000,0.000,120.300,120.300
26.0000,0.500,49.200,120.500,71.300
26.0000,1.000,46.400,120.500,74.100
26.0000,2.000,41.000,120.500,79.500
26.0000,3.000,35.900,120.500,84.600
26.0000,4.000,31.000,120.500,89.500
26.0000,5.000,26.400,120.500,94.100
26.0000,6.000,22.000,120.500,98.500
26.0000,8.000,13.800,120.500,106.700
26.0000,10.000,6.400,120.500,114.100
26.0000,12.000,0.000,120.500,120.500
26.0000,15.000,0.000,120.500,120.500
28.0000,0.500,52.400,120.700,68.300
28.0000,1.000,49.400,120.700,71.300
28.0000,2.000,43.500,120.700,77.200
28.0000,3.000,37.900,120.700,82.800
28.0000,4.000,32.700,120.700,88.000
28.0000,5.000,27.800,120.700,92.900
28.0000,6.000,23.100,120.700,97.600
28.0000,8.000,14.500,120.700,106.200
28.0000,10.000,6.700,120.700,114.000
28.0000,12.000,0.000,120.700,120.700
28.0000,15.000,0.000,120.700,120.700
30.0000,0.500,56.500,120.900,64.400
30.0000,1.000,53.100,120.900,67.800
30.0000,2.000,46.600,120.900,74.300
30.0000,3.000,40.500,120.900,80.400
30.0000,4.000,34.800,120.900,86.100
30.0000,5.000,29.400,120.900,91.500
30.0000,6.000,24.400,120.900,96.500
30.0000,8.000,15.300,120.900,105.600
30.0000,10.000,7.100,120.900,113.800
30.0000,12.000,0.000,120.900,120.900
30.0000,15.000,0.000,120.900,120.900
32.0000,0.500,61.900,121.200,59.300
32.0000,1.000,58.000,121.200,63.200
32.0000,2.000,50.600,121.200,70.600
32.0000,3.000,43.800,121.200,77.400
32.0000,4.000,37.400,121.200,83.800
32.0000,5.000,31.500,121.200,89.700
32.0000,6.000,26.000,121.200,95.200
32.0000,8.000,16.200,121.200,105.000
32.0000,10.000,7.500,121.200,113.700
32.0000,12.000,0.000,121.200,121.200
32.0000,15.000,0.000,121.200,121.200
34.0000,0.500,69.400,121.400,52.000
34.0000,1.000,64.800,121.400,56.600
34.0000,2.000,56.100,121.400,65.300
34.0000,3.000,48.100,121.400,73.300
34.0000,4.000,40.800,121.400,80.600
34.0000,5.000,34.200,121.400,87.200
34.0000,6.000,28.100,121.400,93.300
34.0000,8.000,17.300,121.400,104.100
34.0000,10.000,8.000,121.400,113.400
34.0000,12.000,0.000,121.400,121.400
34.0000,15.000,0.000,121.400,121.400
36.0000,0.500,81.000,121.600,40.600
36.0000,1.000,75.100,121.600,46.500
36.0000,2.000,64.100,121.600,57.500
36.0000,3.000,54.300,121.600,67.300
36.0000,4.000,45.600,121.600,76.000
36.0000,5.000,37.800,121.600,83.800
36.0000,6.000,30.800,121.600,90.800
36.0000,8.000,18.800,121.600,102.800
36.0000,10.000,8.600,121.600,113.000
36.0000,12.000,0.000,121.600,121.600
36.0000,15.000,0.000,121.600,121.600
38.0000,0.500,101.800,121.900,20.100
38.0000,1.000,93.100,121.900,28.800
38.0000,2.000,77.600,121.900,44.300
38.0000,3.000,64.200,121.900,57.700
