lat_lo,lat_hi,lat_mid,area_km2,n_stacks,emissions_t,r_km,one_axis_s,two_axis_s,reacq1_s,reacq2_s,cycle1_s,cycle2_s
14.0,16.0,15.0,3236.8751,248.0000,215108985.0907,4.051,25.561,119.600,555.334,93.126,580.895,212.726
16.0,18.0,17.0,2898.0362,246.0000,231529865.7765,3.920,26.665,119.750,486.991,82.287,513.656,202.037
18.0,20.0,19.0,2456.1458,269.0000,280912102.4455,3.545,28.965,119.900,395.402,67.761,424.366,187.661
20.0,22.0,21.0,5771.7514,430.0000,859830526.8946,4.587,25.593,120.050,273.597,48.442,299.190,168.492
22.0,24.0,23.0,14059.5589,798.0000,1159647330.7056,5.102,24.383,120.200,179.176,33.466,203.559,153.666
24.0,26.0,25.0,11357.6073,782.0000,1290563014.0884,4.575,27.740,120.400,193.092,35.673,220.832,156.073
26.0,28.0,27.0,9861.5217,663.0000,865792722.7102,4.664,28.698,120.600,204.158,37.429,232.856,158.029
28.0,30.0,29.0,13273.2381,965.0000,1098878399.8777,5.222,27.522,120.800,166.735,31.493,194.257,152.293
30.0,32.0,31.0,21899.1341,1247.0000,1479958844.4283,5.569,27.462,121.050,133.278,26.187,160.740,147.237
32.0,34.0,33.0,16509.1465,1170.0000,1106901377.6270,4.688,34.799,121.300,120.109,24.098,154.908,145.398
34.0,36.0,35.0,27637.5155,1627.0000,1785364347.4243,6.109,28.827,121.500,105.922,21.848,134.749,143.348
36.0,38.0,37.0,26707.7918,1616.0000,1914914951.9060,5.616,35.672,121.750,103.154,21.409,138.827,143.159
38.0,40.0,39.0,23996.2322,1487.0000,1836027685.5232,5.348,43.950,122.000,102.426,21.294,146.376,143.294
40.0,42.0,41.0,23908.6545,1530.0000,1284467976.8673,5.276,57.374,122.250,97.627,20.532,155.002,142.782
42.0,44.0,43.0,11140.3621,898.0000,594115744.7965,4.717,102.612,122.550,148.239,28.560,250.851,151.110
44.0,46.0,45.0,7949.9273,786.0000,753693694.6837,4.069,122.800,122.800,148.119,28.541,270.919,151.341
46.0,48.0,47.0,2950.6339,462.0000,281475952.4592,3.273,123.050,123.050,208.319,38.088,331.369,161.138
