lat,lon,n,r_plant_km,r_cover_km,area_km2,emissions_t,capacity,subsector
-37.01090,-60.27535,4,8.427,10.427,223.1030,2894485.0966,846384.4658,cement
-31.77640,-60.45530,1,0.000,2.000,0.5027,107304.0000,41.0000,electricity-generation
-37.09530,-56.87890,1,0.000,2.000,0.5027,54147.0000,20.0000,electricity-generation
-25.67860,-59.07560,1,0.000,2.000,0.5027,12030.7800,15.0000,electricity-generation
-31.25670,-61.52030,1,0.000,2.000,0.5027,2722.5100,19.2000,electricity-generation
-37.41020,-68.90010,1,0.000,2.000,0.5027,84334.0000,32.0000,electricity-generation
-31.39340,-64.20590,1,0.000,2.000,0.5027,6267.9000,35.5600,electricity-generation
-34.87906,-57.92244,4,3.556,5.556,39.7273,3895338.7858,189846.4400,electricity-generation
-45.86490,-68.54880,1,0.000,2.000,0.5027,345250.0000,148.0000,electricity-generation
-34.90330,-58.61620,1,0.000,2.000,0.5027,373520.0000,150.0000,electricity-generation
-37.27420,-69.65200,1,0.000,2.000,0.5027,5674.0000,67.5000,electricity-generation
-27.94730,-56.00080,1,0.000,2.000,0.5027,0.0000,40.0000,electricity-generation
-28.60720,-65.12280,1,0.000,2.000,0.5027,6572.2000,60.0000,electricity-generation
-34.90220,-58.73330,1,0.000,2.000,0.5027,3345300.0000,1170.0000,electricity-generation
-34.03640,-63.92170,1,0.000,2.000,0.5027,74088.0000,42.0000,electricity-generation
-33.45530,-60.28360,1,0.000,2.000,0.5027,279532.0000,260.0000,electricity-generation
-24.73537,-65.05034,2,5.191,7.191,84.6541,1363465.0000,1004.0000,electricity-generation
-38.68650,-62.41850,1,0.000,2.000,0.5027,249360.0000,576.0000,electricity-generation
-26.86650,-65.22410,1,0.000,2.000,0.5027,95684.0000,220.0000,electricity-generation
-38.77339,-62.27825,5,3.534,5.534,39.2398,1657216.6585,93672.9333,electricity-generation
-23.25370,-64.24130,1,0.000,2.000,0.5027,0.0000,52.7000,electricity-generation
-33.24220,-62.39460,1,0.000,2.000,0.5027,3545.4800,20.0000,electricity-generation
-25.95640,-60.62020,1,0.000,2.000,0.5027,432.8400,15.0000,electricity-generation
-34.93500,-58.01820,1,0.000,2.000,0.5027,10068.9400,40.6000,electricity-generation
-29.38248,-66.83366,2,0.114,2.114,0.5027,26207.4400,116.0000,electricity-generation
-34.08090,-59.12540,1,0.000,2.000,0.5027,96527.0000,202.0000,electricity-generation
-23.82250,-64.78430,1,0.000,2.000,0.5027,1472.6400,15.6000,electricity-generation
-38.36000,-68.71470,1,0.000,2.000,0.5027,519150.0000,212.0000,electricity-generation
-38.51270,-68.60610,1,0.000,2.000,0.5027,2112640.0000,765.0000,electricity-generation
-33.05893,-68.97956,2,0.658,2.658,1.3622,2758644.9090,106563.0000,electricity-generation
-34.55780,-59.03360,1,0.000,2.000,0.5027,112216.0000,127.0000,electricity-generation
-35.10020,-57.48430,1,0.000,2.000,0.5027,1612.5000,25.0000,electricity-generation
-45.66020,-67.80970,1,0.000,2.000,0.5027,154170.0000,58.5000,electricity-generation
-34.17242,-58.97850,3,3.108,5.108,30.3553,2999008.4080,246912.1918,electricity-generation
-36.72080,-63.19770,1,0.000,2.000,0.5027,10561.1000,30.0000,electricity-generation
-33.15825,-64.36410,2,0.744,2.744,1.7371,362839.0000,608.5700,electricity-generation
-38.57850,-58.71090,1,0.000,2.000,0.5027,112400.0000,206.0000,electricity-generation
-27.50190,-55.12450,1,0.000,2.000,0.5027,6360.4000,17.6000,electricity-generation
-23.13510,-64.29930,1,0.000,2.000,0.5027,2130.3500,10.0700,electricity-generation
-37.24890,-56.99760,1,0.000,2.000,0.5027,102491.6000,127.0000,electricity-generation
-34.40320,-58.96610,1,0.000,2.000,0.5027,127968.8000,99.6000,electricity-generation
-35.83560,-61.87840,1,0.000,2.000,0.5027,17383.0000,20.0000,electricity-generation
-33.00944,-60.79777,2,4.377,6.377,60.1773,57343.5748,55285.4795,electricity-generation
-31.51290,-68.53990,1,0.000,2.000,0.5027,10979.4000,31.5000,electricity-generation
-25.98938,-54.63503,2,0.168,2.168,0.5027,189148.3626,29688.8087,electricity-generation
-26.48070,-54.71600,1,0.000,2.000,0.5027,0.0000,46.0000,electricity-generation
-38.94600,-67.60060,1,0.000,2.000,0.5027,559140.0000,250.0000,electricity-generation
-34.30470,-60.22410,1,0.000,2.000,0.5027,32158.0000,60.0000,electricity-generation
-28.05600,-56.00830,1,0.000,2.000,0.5027,0.0000,40.0000,electricity-generation
-31.43910,-62.11190,1,0.000,2.000,0.5027,7640.9000,39.0000,electricity-generation
-33.77780,-59.72890,1,0.000,2.000,0.5027,185604.0000,108.0000,electricity-generation
-32.90520,-60.68030,1,0.000,2.000,0.5027,17696.0000,140.0000,electricity-generation
-31.46280,-64.23930,1,0.000,2.000,0.5027,9060.7000,140.0000,electricity-generation
-23.73260,-64.61360,1,0.000,2.000,0.5027,73424.0000,89.0000,electricity-generation
-22.54117,-63.80561,2,0.108,2.108,0.5027,74015.5000,34.9800,electricity-generation
-32.69898,-60.74541,3,4.016,6.016,50.6691,918457.3567,52885.0662,electricity-generation
-32.69610,-63.43720,1,0.000,2.000,0.5027,0.0000,10.0000,electricity-generation
-32.57997,-60.79009,3,0.854,2.854,2.2898,3459277.0000,1868.0000,electricity-generation
-52.89660,-68.35350,1,0.000,2.000,0.5027,348810.0000,135.9000,electricity-generation
-33.77770,-61.95550,1,0.000,2.000,0.5027,5102.1200,19.2000,electricity-generation
-27.58060,-60.70990,1,0.000,2.000,0.5027,429.0600,15.0000,electricity-generation
-32.42680,-63.17400,1,0.000,2.000,0.5027,185561.0000,260.0000,electricity-generation
-28.51610,-59.34570,1,0.000,2.000,0.5027,12555.1000,50.0000,electricity-generation
40.56950,44.75280,1,0.000,2.000,0.5027,876630.0000,839.9000,electricity-generation
40.11427,44.49749,2,0.144,2.144,0.5027,953430.0000,543.0000,electricity-generation
-34.50225,139.02866,2,0.395,2.395,0.5027,125914.4389,23831.8219,electricity-generation
-34.19367,150.78493,2,1.995,3.995,12.5095,112237.0000,68.7000,electricity-generation
-16.71620,128.40310,1,0.000,2.000,0.5027,36549.0000,30.0000,electricity-generation
-37.84290,147.56390,1,0.000,2.000,0.5027,4293.0000,92.0000,electricity-generation
-34.80549,138.51372,10,7.787,9.787,190.4850,2331841.4891,137996.7410,electricity-generation
-20.79170,115.44640,1,0.000,2.000,0.5027,886810.0000,590.0000,electricity-generation
-32.39387,150.95032,3,3.617,5.617,41.1064,14765938.0000,2759.0000,electricity-generation
-12.42620,130.91950,1,0.000,2.000,0.5027,110039.0000,66.5000,electricity-generation
-33.33482,116.23590,2,2.490,4.490,19.4710,4327760.0000,816.0000,electricity-generation
-20.41558,118.54550,4,4.194,6.194,55.2617,404219.0000,301.0000,electricity-generation
-27.11055,150.90520,4,4.612,6.612,66.8143,1244417.0000,1746.4400,electricity-generation
-29.01750,153.44500,1,0.000,2.000,0.5027,0.0000,38.0000,electricity-generation
-31.98630,141.42030,1,0.000,2.000,0.5027,78851.0000,50.0000,electricity-generation
-17.98100,122.20460,1,0.000,2.000,0.5027,16948.0000,13.9100,electricity-generation
-20.61478,116.75910,3,5.398,7.398,91.5502,800010.0000,492.3000,electricity-generation
-24.34490,150.61820,1,0.000,2.000,0.5027,8105900.0000,1620.0000,electricity-generation
-21.86010,140.91580,1,0.000,2.000,0.5027,61961.0000,38.1600,electricity-generation
-20.64970,117.14110,1,0.000,2.000,0.5027,301890.0000,196.4400,electricity-generation
-24.89110,113.70950,2,4.214,6.214,55.7982,25324.0000,17.8800,electricity-generation
-12.54446,130.90095,3,6.461,8.461,131.1347,1115660.0000,987.1000,electricity-generation
-22.39900,119.73200,1,0.000,2.000,0.5027,34114.0000,28.0000,electricity-generation
-37.95020,145.11870,1,0.000,2.000,0.5027,17862.0000,11.0000,electricity-generation
-22.32470,119.40400,1,0.000,2.000,0.5027,56043.0000,46.0000,electricity-generation
-32.19536,115.77521,9,3.630,5.630,41.4057,4956877.0000,187951.8151,electricity-generation
-33.16195,151.54530,2,5.321,7.321,88.9399,6075825.0000,2044.0000,electricity-generation
-26.66800,150.27000,1,0.000,2.000,0.5027,119470.0000,148.1400,electricity-generation
-28.31070,153.43610,1,0.000,2.000,0.5027,0.0000,30.0000,electricity-generation
-23.76548,151.20164,2,1.508,3.508,7.1470,271374.0000,176.0000,electricity-generation
-17.31410,123.64410,1,0.000,2.000,0.5027,17843.0000,10.9900,electricity-generation
-20.78394,139.48407,3,0.979,2.979,3.0081,316315.0000,304.6000,electricity-generation
-33.06220,151.52140,1,0.000,2.000,0.5027,15173400.0000,2922.0000,electricity-generation
-33.87620,121.89980,1,0.000,2.000,0.5027,17365.0000,14.2500,electricity-generation
-28.77010,114.64850,1,0.000,2.000,0.5027,32802.0000,20.8000,electricity-generation
-22.96126,148.56827,2,4.067,6.067,51.9663,116856.0000,42.6500,electricity-generation
-23.82525,151.15350,4,3.432,5.432,37.0052,5162392.5353,424867.2603,aluminum
-23.86291,151.25614,3,10.315,12.315,334.2805,12824504.7721,363063.5616,aluminum
-32.45980,151.12860,1,0.000,2.000,0.5027,16333.0000,10.0600,electricity-generation
-12.18890,136.68680,1,0.000,2.000,0.5027,147690.0000,120.5000,electricity-generation
-27.99410,123.86390,1,0.000,2.000,0.5027,84109.0000,52.6000,electricity-generation
-17.60660,145.99140,1,0.000,2.000,0.5027,0.0000,19.3000,electricity-generation
-33.34870,138.75170,1,0.000,2.000,0.5027,368380.0000,220.6000,electricity-generation
-38.27510,146.42570,2,3.060,5.060,29.4148,68050.0000,440.0000,electricity-generation
-32.79737,151.47248,2,4.762,6.762,71.2259,638770.0000,495.0000,electricity-generation
-19.64220,147.40160,1,0.000,2.000,0.5027,0.0000,10.0000,electricity-generation
-19.51650,147.10560,1,0.000,2.000,0.5027,0.0000,61.5000,electricity-generation
-26.37120,120.57760,1,0.000,2.000,0.5027,30852.0000,20.2000,electricity-generation
-30.87370,121.48420,1,0.000,2.000,0.5027,29432.0000,21.4000,electricity-generation
-31.19190,121.67215,2,0.186,2.186,0.5027,412581.0000,286.0000,electricity-generation
-20.75220,116.83790,1,0.000,2.000,0.5027,92881.0000,86.0000,electricity-generation
-14.45870,132.24450,1,0.000,2.000,0.5027,52949.0000,36.1000,electricity-generation
-33.16330,115.78050,1,0.000,2.000,0.5027,74074.0000,310.0000,electricity-generation
-26.91790,150.75070,1,0.000,2.000,0.5027,4763400.0000,750.0000,electricity-generation
-37.45670,140.78270,1,0.000,2.000,0.5027,66795.0000,80.0000,electricity-generation
-37.84152,144.85488,5,5.849,7.849,107.4656,516350.7631,75401.9087,electricity-generation
-27.81410,120.69900,1,0.000,2.000,0.5027,0.0000,0.0000,electricity-generation
-38.22360,147.16570,1,0.000,2.000,0.5027,45344.0000,33.5000,electricity-generation
-35.10983,138.49108,2,0.060,2.060,0.5027,27781.7000,82.8000,electricity-generation
-38.25354,146.57924,3,0.844,2.844,2.2364,24300912.0000,3628.0000,electricity-generation
-34.02931,151.00209,2,2.367,4.367,17.5961,35558.0000,42.9000,electricity-generation
-21.14462,149.15908,2,3.365,5.365,35.5803,53617.0000,81.0000,electricity-generation
-21.14210,148.94000,1,0.000,2.000,0.5027,0.0000,18.0000,electricity-generation
-38.18490,146.44669,2,0.134,2.134,0.5027,175054.3671,27583.3224,electricity-generation
-16.43350,136.09350,1,0.000,2.000,0.5027,119395.0000,73.9000,electricity-generation
-31.54220,118.22700,1,0.000,2.000,0.5027,4665.8000,82.0000,electricity-generation
-27.96070,151.27930,1,0.000,2.000,0.5027,4905800.0000,880.0000,electricity-generation
-33.90320,138.73820,1,0.000,2.000,0.5027,12870.6000,90.0000,electricity-generation
-22.00164,148.02858,2,1.884,3.884,11.1556,176541.0000,75.5600,electricity-generation
-38.06350,142.66820,1,0.000,2.000,0.5027,365607.0000,567.0000,electricity-generation
-27.21460,120.54800,1,0.000,2.000,0.5027,128246.0000,97.6800,electricity-generation
-33.35970,150.03310,1,0.000,2.000,0.5027,6732400.0000,1390.0000,electricity-generation
-19.33770,146.85160,1,0.000,2.000,0.5027,43056.0000,423.0000,electricity-generation
-33.44590,116.30750,1,0.000,2.000,0.5027,2270990.0000,454.0000,electricity-generation
-17.09320,145.78870,1,0.000,2.000,0.5027,0.0000,10.5000,electricity-generation
-28.88930,115.11770,1,0.000,2.000,0.5027,76412.0000,113.1000,electricity-generation
-28.92380,121.32930,1,0.000,2.000,0.5027,122245.0000,76.0000,electricity-generation
-31.67130,115.80210,1,0.000,2.000,0.5027,84743.0000,330.0000,electricity-generation
-23.34386,119.70940,2,0.147,2.147,0.5027,472840.0000,407.3000,electricity-generation
-27.27970,120.50190,1,0.000,2.000,0.5027,243560.0000,150.0000,electricity-generation
-32.54050,137.78505,2,0.348,2.348,0.5027,0.0000,0.0000,electricity-generation
-27.41840,151.68020,1,0.000,2.000,0.5027,52079.0000,346.0000,electricity-generation
-23.86370,133.82350,1,0.000,2.000,0.5027,147230.0000,90.9000,electricity-generation
-23.22330,117.61330,1,0.000,2.000,0.5027,44726.0000,24.8000,electricity-generation
-30.73760,121.50640,1,0.000,2.000,0.5027,55531.0000,105.0000,electricity-generation
-13.78560,131.86240,1,0.000,2.000,0.5027,27113.0000,16.6000,electricity-generation
-31.55910,115.82080,1,0.000,2.000,0.5027,260970.0000,584.5000,electricity-generation
-32.64675,115.94648,3,0.073,2.073,0.5027,7518696.8700,425037.5342,electricity-generation
-19.55740,147.33080,1,0.000,2.000,0.5027,0.0000,68.0000,electricity-generation
-21.42820,149.21590,1,0.000,2.000,0.5027,0.0000,14.0000,electricity-generation
-25.31100,119.45080,1,0.000,2.000,0.5027,26791.0000,16.5000,electricity-generation
-34.70030,135.80440,1,0.000,2.000,0.5027,84612.0000,50.0000,electricity-generation
-20.39850,148.57970,1,0.000,2.000,0.5027,0.0000,20.0000,electricity-generation
-33.64350,120.39610,1,0.000,2.000,0.5027,76330.0000,55.5000,electricity-generation
